1,肖申克的救赎,1994,9.7,2683213
2,霸王别姬,1993,9.6,1990384
3,阿甘正传,1994,9.5,2015037
4,泰坦尼克号,1997,9.4,1974156
5,这个杀手不太冷,1994,9.4,2158970
6,美丽人生,1997,9.6,1237210
7,千与千寻,2001,9.4,2091255
8,辛德勒的名单,1993,9.6,1032198
9,盗梦空间,2010,9.4,1928190
